Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
4,Saturday,15,5,0,10,30,2
8,Wednesday,86,15,15,23,139,1
7,Tuesday,102,5,19,11,137,3
15,Sunday,109,14,38,1,162,1
29,Sunday,14,2,1,26,43,3
22,Saturday,63,18,11,5,97,2
17,Tuesday,12,4,1,28,45,3
22,Saturday,62,28,18,20,128,3
8,Wednesday,12,2,1,17,32,3
3,Friday,18,4,0,30,52,3
22,Saturday,146,23,23,4,196,0
24,Tuesday,116,23,23,4,166,3
23,Monday,17,3,0,10,30,2
30,Monday,26,8,11,20,65,3
10,Tuesday,15,0,1,11,27,2
26,Thursday,98,18,20,22,158,1
24,Tuesday,63,22,12,29,126,1
5,Sunday,21,8,4,28,61,3
28,Saturday,101,25,18,8,152,3
11,Wednesday,51,10,14,20,95,3
14,Saturday,109,29,23,5,166,3
5,Sunday,66,14,21,7,108,3
21,Sunday,139,36,40,3,218,0
30,Monday,14,15,5,21,55,3
7,Tuesday,122,12,48,10,192,0
12,Thursday,18,1,1,39,59,3
22,Saturday,148,35,46,1,230,0
10,Tuesday,101,26,8,14,149,3
22,Saturday,132,12,27,9,180,0
7,Tuesday,111,17,32,1,161,1
8,Wednesday,18,5,1,15,39,3
1,Wednesday,19,1,1,18,39,3
19,Thursday,12,0,1,13,26,3
19,Thursday,18,1,0,10,29,2
2,Thursday,111,22,0,12,145,3
24,Tuesday,126,22,21,1,170,0
28,Saturday,74,16,14,34,138,1
20,Friday,25,6,3,9,43,2
23,Monday,10,2,1,36,49,3
6,Monday,131,26,40,1,198,0
17,Tuesday,60,9,11,27,107,3
5,Sunday,99,6,6,7,118,3
26,Thursday,102,5,12,17,136,3
17,Tuesday,101,3,6,6,116,3
24,Tuesday,114,27,45,4,190,0
8,Wednesday,12,3,0,40,55,3
12,Thursday,114,23,10,19,166,3
27,Friday,64,23,21,1,109,3
3,Friday,39,20,1,10,70,2
13,Friday,30,9,3,10,52,2
30,Monday,73,20,18,7,118,3
19,Thursday,118,32,48,6,204,0
31,Tuesday,17,1,0,34,52,3
24,Tuesday,20,1,1,27,49,3
13,Friday,47,7,3,6,63,2
11,Wednesday,108,15,10,6,139,3
10,Tuesday,52,10,13,21,96,3
30,Monday,94,1,1,14,110,3
9,Thursday,21,7,9,20,57,3
27,Friday,31,6,0,15,52,3
26,Thursday,18,2,0,37,57,3
26,Thursday,117,31,49,0,197,0
10,Tuesday,58,8,14,29,109,3
3,Friday,87,21,16,0,124,3
3,Friday,18,4,1,11,34,2
3,Friday,43,18,6,14,81,3
11,Wednesday,77,7,20,16,120,3
11,Wednesday,16,0,1,26,43,3
21,Sunday,59,25,13,27,124,1
2,Thursday,71,22,12,14,119,3
16,Monday,91,8,6,2,107,2
9,Thursday,10,2,0,38,50,3
10,Tuesday,31,0,4,4,39,2
4,Saturday,68,24,15,14,121,3
13,Friday,20,0,1,23,44,3
17,Tuesday,68,10,8,1,87,2
8,Wednesday,14,5,1,20,40,3
15,Sunday,94,17,11,24,146,1
19,Thursday,110,6,14,23,153,1
13,Friday,80,16,4,15,115,3
15,Sunday,53,12,23,8,96,3
31,Tuesday,16,4,0,15,35,3
30,Monday,101,22,39,19,181,0
14,Saturday,54,7,7,20,88,3
30,Monday,148,26,25,0,199,0
2,Thursday,11,0,0,16,27,3
8,Wednesday,14,4,1,27,46,3
3,Friday,141,51,27,3,222,0
31,Tuesday,131,28,24,0,183,0
29,Sunday,141,30,27,7,205,0
22,Saturday,19,1,1,38,59,3
28,Saturday,13,2,0,28,43,3
18,Wednesday,54,10,30,28,122,1
27,Friday,20,1,1,27,49,3
23,Monday,119,25,32,9,185,0
6,Monday,113,32,44,1,190,0
17,Tuesday,118,40,29,10,197,0
12,Thursday,18,0,0,27,45,3
6,Monday,19,1,0,31,51,3
23,Monday,50,25,19,9,103,3
9,Thursday,114,18,17,8,157,3
12,Thursday,18,5,1,13,37,3
17,Tuesday,123,24,46,2,195,0
